id,name,domain,subdomain,status,scale,keywords,brief_description,canonical_examples
1,Moto rettilineo uniforme,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
2,Moto uniformemente accelerato,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
3,Leggi di Newton,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
4,Quantità di moto e urti elastici,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
5,Urti anelastici,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
6,Attrito statico,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
7,Attrito dinamico,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
8,Pendolo semplice,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
9,Pendolo fisico,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
10,Moto armonico semplice,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
11,Risonanza meccanica,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
12,Rotazione rigida,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
13,Momento angolare,Fisica,Meccanica,Consolidated,Macro,"forza,moto,energia",Fenomeno meccanico classico descritto da leggi note.,"Esperimenti di dinamica classica, sistemi macroscopici"
